Drone_X,Drone_Y,Drone_Z
1.9733655,1.8955307e-10,3.0250235
1.9709116,-8.260509e-05,3.0019858
1.9153954,-0.00066765596,2.9935343
1.723621,-0.0017327399,2.9745433
1.4212152,-0.0028905733,2.932386
1.0242803,-0.0038697536,2.9093366
0.6338676,-0.004137155,2.9101987
0.3321756,-0.0034460525,2.9197195
0.18066348,-0.0021016523,2.9030654
0.1567154,-6.727477e-05,2.8630617
0.22239324,0.0021801295,2.8605766
0.29742622,0.004010831,2.9319239
0.32635686,0.0051598926,2.9988172
0.2873229,0.0056985454,3.030134
0.19390154,0.0056104106,3.0343218
0.10595835,0.0052262703,3.036105
0.071620435,0.004994411,3.034108
0.09600135,0.0050989566,3.0351467
0.15647838,0.0055435044,3.073824
0.20885709,0.0061438447,3.1651592
