Drone_X,Drone_Y,Drone_Z
1.9733738,2.0059675e-10,3.024974
1.9708848,-7.946545e-05,3.0021267
1.9146876,-0.0006435404,2.9946556
1.7201971,-0.0016722817,2.976367
1.4131157,-0.0027936508,2.9320843
1.0087146,-0.0037422066,2.9075775
0.6134786,-0.0039865714,2.909394
0.31357858,-0.0032934083,2.9188113
0.1692223,-0.0019774763,2.8991306
0.15287468,3.820226e-05,2.8528836
0.22588278,0.0023085568,2.849729
0.30588335,0.004190909,2.9267437
0.33758807,0.0053912858,2.9934742
0.29404128,0.0058863605,3.0225964
0.1859766,0.00567739,3.0214357
0.08265321,0.0051419544,3.0114453
0.045235105,0.0047878884,2.9901707
0.08373732,0.004864854,2.9797823
0.16295959,0.0053943098,3.0214975
0.2253978,0.0061026434,3.1181514
