Drone_X,Drone_Y,Drone_Z
1.9733655,7.892e-10,3.0251472
1.9698424,6.431254e-05,3.0144868
1.9062821,0.0003392286,3.0200808
1.7046763,0.00076662976,3.0062842
1.3955448,0.0011731784,2.9646463
0.9953445,0.0014569926,2.9395716
0.6008541,0.0015648613,2.944296
0.2890925,0.001602838,2.9851747
0.11764292,0.0016956724,3.0354714
0.051696777,0.0019367993,3.0735974
0.06624608,0.002411545,3.1057312
0.11036409,0.002985326,3.1428938
0.14262526,0.003503532,3.1500905
0.15320823,0.0041633993,3.1600235
0.14759828,0.0047386363,3.1521444
0.15295394,0.005483447,3.1192336
0.18853508,0.006604726,3.0751967
0.24433234,0.008275179,3.018482
0.28487808,0.010117275,2.9691517
0.2943263,0.011582104,2.9499195
