Drone_X,Drone_Y,Drone_Z
1.9733738,-1.6890992e-09,3.0250952
1.9698733,-4.0083407e-05,3.0142574
1.9061857,3.804281e-05,3.020053
1.7031969,0.00033143003,3.0064814
1.3912044,0.00079734257,2.963696
0.9864268,0.0014093813,2.93778
0.5887132,0.0019250322,2.943445
0.27785826,0.0022363155,2.985951
0.10995991,0.0024108107,3.036342
0.0480072,0.002595914,3.0732455
0.066559345,0.0029483454,3.1066208
0.11272503,0.0033925844,3.1458318
0.14306235,0.0036940775,3.1744175
0.14839965,0.003861968,3.1902947
0.1336049,0.004026426,3.2023342
0.11840954,0.004335634,3.2152333
0.12117457,0.0048531005,3.2152421
0.15905304,0.005772293,3.1971838
0.23469187,0.0070347707,3.1684878
0.32236052,0.008346919,3.1388087
