Drone_X,Drone_Y,Drone_Z
1.9733738,1.1314374e-09,3.0251396
1.971282,1.7483175e-05,3.016958
1.9181459,-7.0904694e-05,3.0279212
1.7281337,-0.0003213667,3.0248826
1.4227797,-0.0006650009,2.9861803
1.010188,-0.0010488667,2.9683368
0.5958226,-0.001303937,2.9890518
0.25076926,-0.00133389,3.026934
0.034814797,-0.0011594888,3.0601904
-0.08534474,-0.0008979322,3.09074
-0.15141849,-0.0009348706,3.1292934
-0.21044303,-0.0012616614,3.1578505
-0.2545781,-0.0015730258,3.1818383
-0.2838131,-0.0018006576,3.2022438
-0.298985,-0.00189735,3.2199671
-0.313952,-0.0019918268,3.236665
-0.33824202,-0.0021892993,3.250941
-0.37896684,-0.0025692745,3.2643209
-0.42954895,-0.0030693854,3.2759235
-0.47786236,-0.0035591754,3.2856965
