Drone_X,Drone_Y,Drone_Z
1.9733655,0.0,3.0250196
1.9731002,3.6803138e-07,2.9816408
1.9484723,1.1604675e-05,2.9309993
1.8086264,4.700655e-05,2.894202
1.5471559,0.00010484187,2.8344226
1.167161,0.00022071124,2.7870011
0.76772463,0.00043243062,2.8167534
0.45600796,0.00069245044,2.9053357
0.30118948,0.0009814724,2.9661896
0.28257057,0.0011278887,2.9817352
0.36672735,0.00039027387,3.0080097
0.4551522,-0.00096971914,3.0730455
0.4743854,-0.0019895493,3.1426938
0.41346276,-0.002301542,3.2033062
0.3018804,-0.0018422817,3.253732
0.18927377,-0.001214567,3.317098
0.121710874,-0.0012917615,3.389465
0.10593455,-0.0025787775,3.4699013
0.12903008,-0.0048657507,3.5545347
0.15466246,-0.007322167,3.6355884
