Drone_X,Drone_Y,Drone_Z
1.9733738,0.0,3.0249698
1.9730858,-1.482689e-06,2.9819167
1.9476912,-3.0341107e-05,2.9327378
1.805416,-9.421819e-05,2.89696
1.5408396,-0.00015877913,2.8360915
1.155795,-0.00016318013,2.7880535
0.75281304,-1.2088249e-05,2.8202584
0.4419115,0.00024911558,2.9101696
0.29145277,0.0005999078,2.9694479
0.27945706,0.0008405953,2.9813366
0.3719173,0.00010984301,3.006871
0.466283,-0.0013273791,3.0752206
0.48652574,-0.0024210792,3.1472242
0.42261642,-0.0027642422,3.2064927
0.305315,-0.0022463838,3.2549956
0.18771203,-0.001501851,3.3150413
0.11778698,-0.0014669166,3.3865714
0.10166763,-0.0026887225,3.4680266
0.12641338,-0.0050195707,3.5562527
0.15510254,-0.0076479446,3.6471899
